,Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30,Year
26,27,Chicago White Sox,61,101,0.377,L 3,4.0,5.2,-1.2,0.0,-1.3,61-101,0,11-20,23-29,12-21,15-31,31-50,30-51,5-11,19-30,47-77,14-24,26-59,35-42,3-7,6-14,9-21,2014
27,28,Colorado Rockies,59,103,0.364,W 1,4.5,5.9,-1.5,0.1,-1.3,60-102,-1,14-20,13-17,14-38,18-28,37-44,22-59,6-4,23-24,37-74,22-29,31-72,28-31,3-7,8-12,10-20,2014
28,29,Kansas City Royals,56,106,0.346,W 1,4.2,5.3,-1.1,0.0,-1.2,64-98,-8,9-24,20-32,11-20,16-30,33-48,23-58,3-4,21-20,42-79,14-27,25-60,31-46,6-4,12-8,15-15,2014
29,30,Oakland Athletics,50,112,0.309,L 1,3.6,5.7,-2.1,0.1,-2.0,49-113,1,8-24,14-18,14-38,14-32,26-55,24-57,6-8,20-27,31-85,19-27,22-76,28-36,4-6,6-14,12-18,2014
0,1,Atlanta Braves,104,58,0.642,L 1,5.8,4.4,1.4,-0.1,1.4,101-61,3,35-17,22-9,21-12,26-20,52-29,52-29,8-3,23-18,81-49,23-9,55-33,49-25,7-3,11-9,17-13,2015
1,2,Baltimore Orioles,101,61,0.623,L 1,5.0,4.2,0.8,0.0,0.8,94-68,7,32-20,22-10,21-11,26-20,49-32,52-29,11-6,30-16,65-44,36-17,51-39,50-22,6-4,11-9,18-12,2015
2,3,Los Angeles Dodgers,100,62,0.617,W 1,5.6,4.3,1.3,-0.1,1.2,100-62,0,17-14,19-14,34-18,30-16,53-28,47-34,6-6,16-15,74-39,26-23,52-36,48-26,6-4,13-7,17-13,2015
3,4,Tampa Bay Rays,99,63,0.611,W 2,5.3,4.1,1.2,0.0,1.2,100-62,-1,31-21,23-9,18-14,27-19,53-28,46-35,7-5,22-25,75-52,24-11,48-44,51-19,6-4,13-7,19-11,2015
4,5,Milwaukee Brewers,92,70,0.568,W 1,4.5,4.0,0.5,0.0,0.5,90-72,2,18-14,33-19,13-19,28-18,49-32,43-38,10-5,29-18,70-44,22-26,51-38,41-32,6-4,13-7,18-12,2015
5,6,Houston Astros,90,72,0.556,W 4,5.1,4.3,0.8,-0.1,0.7,93-69,-3,16-17,14-17,32-20,28-18,39-42,51-30,1-8,20-21,62-51,28-21,42-43,48-29,6-4,10-10,16-14,2015
6,7,Philadelphia Phillies,90,72,0.556,W 1,4.9,4.4,0.5,0.0,0.5,89-73,1,25-27,19-12,18-15,28-18,49-32,41-40,10-7,29-24,60-51,30-21,47-43,43-29,7-3,12-8,16-14,2015
7,8,Texas Rangers,90,72,0.556,L 1,5.4,4.4,1.0,-0.1,0.9,96-66,-6,20-12,19-13,29-23,22-24,50-31,40-41,2-8,14-22,62-56,28-16,42-45,48-27,6-4,12-8,15-15,2015
8,9,Toronto Blue Jays,89,73,0.549,L 2,4.6,4.1,0.5,0.1,0.5,89-73,0,21-31,22-10,16-16,30-16,43-38,46-35,10-9,25-20,69-58,20-15,43-50,46-23,4-6,10-10,17-13,2015
9,10,Seattle Mariners,88,74,0.543,W 1,4.7,4.1,0.6,-0.1,0.6,91-71,-3,13-18,20-13,33-19,22-24,45-36,43-38,6-14,25-26,66-55,22-19,38-48,50-26,4-6,9-11,13-17,2015
10,11,Minnesota Twins,87,75,0.537,L 1,4.8,4.1,0.7,-0.2,0.6,93-69,-6,13-19,29-23,20-12,25-21,47-34,40-41,12-8,19-27,66-58,21-17,37-36,50-39,7-3,12-8,18-12,2015
11,12,Arizona Diamondbacks,84,78,0.519,L 4,4.6,4.7,-0.1,0.0,-0.1,80-82,4,14-18,20-12,29-23,21-25,43-38,41-40,5-4,21-21,56-57,28-21,40-50,44-28,4-6,10-10,15-15,2015
12,13,Miami Marlins,84,78,0.519,L 1,4.1,4.5,-0.4,0.1,-0.3,75-87,9,26-26,18-15,14-17,26-20,46-35,38-43,7-3,33-14,64-59,20-19,38-50,46-28,5-5,11-9,18-12,2015
13,14,Chicago Cubs,83,79,0.512,L 1,5.1,4.5,0.6,-0.1,0.5,90-72,-7,11-20,30-22,17-16,25-21,45-36,38-43,3-6,21-24,54-57,29-22,38-51,45-28,4-6,7-13,13-17,2015
14,15,San Diego Padres,82,80,0.506,W 5,4.6,4.0,0.6,0.0,0.6,92-70,-10,16-16,11-21,27-25,28-18,44-37,38-43,2-12,9-23,54-61,28-19,40-51,42-29,8-2,15-5,20-10,2015
15,16,Cincinnati Reds,82,80,0.506,L 2,4.8,5.1,-0.2,0.0,-0.2,77-85,5,15-17,21-31,18-14,28-18,38-43,44-37,10-5,34-29,59-55,23-25,41-47,41-33,3-7,9-11,14-16,2015
16,17,New York Yankees,82,80,0.506,L 1,4.2,4.3,-0.2,0.1,0.0,78-84,4,22-30,18-14,19-13,23-23,42-39,40-41,6-9,17-23,67-67,15-13,47-46,35-34,6-4,12-8,18-12,2015
17,18,San Francisco Giants,79,83,0.488,L 1,4.2,4.4,-0.3,0.0,-0.3,76-86,3,13-18,20-13,26-26,20-26,45-36,34-47,11-5,25-19,51-63,28-20,46-55,33-28,3-7,7-13,10-20,2015
18,19,Detroit Tigers,78,84,0.481,W 2,4.1,4.6,-0.5,-0.1,-0.6,73-89,5,7-25,35-17,15-17,21-25,37-44,41-40,10-8,21-20,62-62,16-22,31-54,47-30,7-3,13-7,19-11,2015
19,20,Boston Red Sox,78,84,0.481,W 1,4.8,4.8,0.0,0.1,0.1,81-81,-3,24-28,19-13,15-17,20-26,39-42,39-42,4-6,18-25,54-66,24-18,51-55,27-29,3-7,6-14,9-21,2015
20,21,Cleveland Guardians,76,86,0.469,L 2,4.1,4.3,-0.2,-0.1,-0.3,77-85,-1,16-16,23-29,17-15,20-26,42-39,34-47,11-9,27-31,52-51,24-35,41-45,35-41,4-6,8-12,14-16,2015
21,22,Pittsburgh Pirates,76,86,0.469,W 1,4.3,4.9,-0.6,0.0,-0.6,71-91,5,16-17,25-27,16-15,19-27,39-42,37-44,3-9,22-17,50-58,26-28,40-62,36-24,5-5,10-10,17-13,2015
22,23,New York Mets,75,87,0.463,L 1,4.4,4.5,-0.1,0.0,0.0,80-82,-5,25-27,13-19,18-14,19-27,43-38,32-49,7-3,25-28,57-52,18-35,45-57,30-30,4-6,10-10,15-15,2015
23,24,Los Angeles Angels,73,89,0.451,W 1,4.6,5.1,-0.6,0.0,-0.5,73-89,0,14-18,18-14,22-30,19-27,38-43,35-46,7-8,22-21,57-64,16-25,35-63,38-26,4-6,8-12,10-20,2015
24,25,St. Louis Cardinals,71,91,0.438,W 2,4.4,5.1,-0.7,0.0,-0.6,71-91,0,14-18,21-31,13-19,23-23,35-46,36-45,6-6,17-26,54-66,17-25,45-56,26-35,4-6,8-12,15-15,2015
25,26,Washington Nationals,71,91,0.438,W 1,4.3,5.2,-0.9,0.1,-0.8,67-95,4,19-33,14-19,15-16,23-23,34-47,37-44,6-2,28-21,47-60,24-31,39-63,32-28,4-6,7-13,10-20,2015
26,27,Chicago White Sox,61,101,0.377,L 3,4.0,5.2,-1.2,0.0,-1.3,61-101,0,11-20,23-29,12-21,15-31,31-50,30-51,5-11,19-30,47-77,14-24,26-59,35-42,3-7,6-14,9-21,2015
27,28,Colorado Rockies,59,103,0.364,W 1,4.5,5.9,-1.5,0.1,-1.3,60-102,-1,14-20,13-17,14-38,18-28,37-44,22-59,6-4,23-24,37-74,22-29,31-72,28-31,3-7,8-12,10-20,2015
28,29,Kansas City Royals,56,106,0.346,W 1,4.2,5.3,-1.1,0.0,-1.2,64-98,-8,9-24,20-32,11-20,16-30,33-48,23-58,3-4,21-20,42-79,14-27,25-60,31-46,6-4,12-8,15-15,2015
29,30,Oakland Athletics,50,112,0.309,L 1,3.6,5.7,-2.1,0.1,-2.0,49-113,1,8-24,14-18,14-38,14-32,26-55,24-57,6-8,20-27,31-85,19-27,22-76,28-36,4-6,6-14,12-18,2015
0,1,Atlanta Braves,104,58,0.642,L 1,5.8,4.4,1.4,-0.1,1.4,101-61,3,35-17,22-9,21-12,26-20,52-29,52-29,8-3,23-18,81-49,23-9,55-33,49-25,7-3,11-9,17-13,2016
1,2,Baltimore Orioles,101,61,0.623,L 1,5.0,4.2,0.8,0.0,0.8,94-68,7,32-20,22-10,21-11,26-20,49-32,52-29,11-6,30-16,65-44,36-17,51-39,50-22,6-4,11-9,18-12,2016
2,3,Los Angeles Dodgers,100,62,0.617,W 1,5.6,4.3,1.3,-0.1,1.2,100-62,0,17-14,19-14,34-18,30-16,53-28,47-34,6-6,16-15,74-39,26-23,52-36,48-26,6-4,13-7,17-13,2016
3,4,Tampa Bay Rays,99,63,0.611,W 2,5.3,4.1,1.2,0.0,1.2,100-62,-1,31-21,23-9,18-14,27-19,53-28,46-35,7-5,22-25,75-52,24-11,48-44,51-19,6-4,13-7,19-11,2016
4,5,Milwaukee Brewers,92,70,0.568,W 1,4.5,4.0,0.5,0.0,0.5,90-72,2,18-14,33-19,13-19,28-18,49-32,43-38,10-5,29-18,70-44,22-26,51-38,41-32,6-4,13-7,18-12,2016
5,6,Houston Astros,90,72,0.556,W 4,5.1,4.3,0.8,-0.1,0.7,93-69,-3,16-17,14-17,32-20,28-18,39-42,51-30,1-8,20-21,62-51,28-21,42-43,48-29,6-4,10-10,16-14,2016
6,7,Philadelphia Phillies,90,72,0.556,W 1,4.9,4.4,0.5,0.0,0.5,89-73,1,25-27,19-12,18-15,28-18,49-32,41-40,10-7,29-24,60-51,30-21,47-43,43-29,7-3,12-8,16-14,2016
7,8,Texas Rangers,90,72,0.556,L 1,5.4,4.4,1.0,-0.1,0.9,96-66,-6,20-12,19-13,29-23,22-24,50-31,40-41,2-8,14-22,62-56,28-16,42-45,48-27,6-4,12-8,15-15,2016
8,9,Toronto Blue Jays,89,73,0.549,L 2,4.6,4.1,0.5,0.1,0.5,89-73,0,21-31,22-10,16-16,30-16,43-38,46-35,10-9,25-20,69-58,20-15,43-50,46-23,4-6,10-10,17-13,2016
9,10,Seattle Mariners,88,74,0.543,W 1,4.7,4.1,0.6,-0.1,0.6,91-71,-3,13-18,20-13,33-19,22-24,45-36,43-38,6-14,25-26,66-55,22-19,38-48,50-26,4-6,9-11,13-17,2016
10,11,Minnesota Twins,87,75,0.537,L 1,4.8,4.1,0.7,-0.2,0.6,93-69,-6,13-19,29-23,20-12,25-21,47-34,40-41,12-8,19-27,66-58,21-17,37-36,50-39,7-3,12-8,18-12,2016
11,12,Arizona Diamondbacks,84,78,0.519,L 4,4.6,4.7,-0.1,0.0,-0.1,80-82,4,14-18,20-12,29-23,21-25,43-38,41-40,5-4,21-21,56-57,28-21,40-50,44-28,4-6,10-10,15-15,2016
12,13,Miami Marlins,84,78,0.519,L 1,4.1,4.5,-0.4,0.1,-0.3,75-87,9,26-26,18-15,14-17,26-20,46-35,38-43,7-3,33-14,64-59,20-19,38-50,46-28,5-5,11-9,18-12,2016
13,14,Chicago Cubs,83,79,0.512,L 1,5.1,4.5,0.6,-0.1,0.5,90-72,-7,11-20,30-22,17-16,25-21,45-36,38-43,3-6,21-24,54-57,29-22,38-51,45-28,4-6,7-13,13-17,2016
14,15,San Diego Padres,82,80,0.506,W 5,4.6,4.0,0.6,0.0,0.6,92-70,-10,16-16,11-21,27-25,28-18,44-37,38-43,2-12,9-23,54-61,28-19,40-51,42-29,8-2,15-5,20-10,2016
15,16,Cincinnati Reds,82,80,0.506,L 2,4.8,5.1,-0.2,0.0,-0.2,77-85,5,15-17,21-31,18-14,28-18,38-43,44-37,10-5,34-29,59-55,23-25,41-47,41-33,3-7,9-11,14-16,2016
16,17,New York Yankees,82,80,0.506,L 1,4.2,4.3,-0.2,0.1,0.0,78-84,4,22-30,18-14,19-13,23-23,42-39,40-41,6-9,17-23,67-67,15-13,47-46,35-34,6-4,12-8,18-12,2016
17,18,San Francisco Giants,79,83,0.488,L 1,4.2,4.4,-0.3,0.0,-0.3,76-86,3,13-18,20-13,26-26,20-26,45-36,34-47,11-5,25-19,51-63,28-20,46-55,33-28,3-7,7-13,10-20,2016
18,19,Detroit Tigers,78,84,0.481,W 2,4.1,4.6,-0.5,-0.1,-0.6,73-89,5,7-25,35-17,15-17,21-25,37-44,41-40,10-8,21-20,62-62,16-22,31-54,47-30,7-3,13-7,19-11,2016
19,20,Boston Red Sox,78,84,0.481,W 1,4.8,4.8,0.0,0.1,0.1,81-81,-3,24-28,19-13,15-17,20-26,39-42,39-42,4-6,18-25,54-66,24-18,51-55,27-29,3-7,6-14,9-21,2016
20,21,Cleveland Guardians,76,86,0.469,L 2,4.1,4.3,-0.2,-0.1,-0.3,77-85,-1,16-16,23-29,17-15,20-26,42-39,34-47,11-9,27-31,52-51,24-35,41-45,35-41,4-6,8-12,14-16,2016
21,22,Pittsburgh Pirates,76,86,0.469,W 1,4.3,4.9,-0.6,0.0,-0.6,71-91,5,16-17,25-27,16-15,19-27,39-42,37-44,3-9,22-17,50-58,26-28,40-62,36-24,5-5,10-10,17-13,2016
22,23,New York Mets,75,87,0.463,L 1,4.4,4.5,-0.1,0.0,0.0,80-82,-5,25-27,13-19,18-14,19-27,43-38,32-49,7-3,25-28,57-52,18-35,45-57,30-30,4-6,10-10,15-15,2016
23,24,Los Angeles Angels,73,89,0.451,W 1,4.6,5.1,-0.6,0.0,-0.5,73-89,0,14-18,18-14,22-30,19-27,38-43,35-46,7-8,22-21,57-64,16-25,35-63,38-26,4-6,8-12,10-20,2016
24,25,St. Louis Cardinals,71,91,0.438,W 2,4.4,5.1,-0.7,0.0,-0.6,71-91,0,14-18,21-31,13-19,23-23,35-46,36-45,6-6,17-26,54-66,17-25,45-56,26-35,4-6,8-12,15-15,2016
25,26,Washington Nationals,71,91,0.438,W 1,4.3,5.2,-0.9,0.1,-0.8,67-95,4,19-33,14-19,15-16,23-23,34-47,37-44,6-2,28-21,47-60,24-31,39-63,32-28,4-6,7-13,10-20,2016
26,27,Chicago White Sox,61,101,0.377,L 3,4.0,5.2,-1.2,0.0,-1.3,61-101,0,11-20,23-29,12-21,15-31,31-50,30-51,5-11,19-30,47-77,14-24,26-59,35-42,3-7,6-14,9-21,2016
27,28,Colorado Rockies,59,103,0.364,W 1,4.5,5.9,-1.5,0.1,-1.3,60-102,-1,14-20,13-17,14-38,18-28,37-44,22-59,6-4,23-24,37-74,22-29,31-72,28-31,3-7,8-12,10-20,2016
28,29,Kansas City Royals,56,106,0.346,W 1,4.2,5.3,-1.1,0.0,-1.2,64-98,-8,9-24,20-32,11-20,16-30,33-48,23-58,3-4,21-20,42-79,14-27,25-60,31-46,6-4,12-8,15-15,2016
29,30,Oakland Athletics,50,112,0.309,L 1,3.6,5.7,-2.1,0.1,-2.0,49-113,1,8-24,14-18,14-38,14-32,26-55,24-57,6-8,20-27,31-85,19-27,22-76,28-36,4-6,6-14,12-18,2016
0,1,Atlanta Braves,104,58,0.642,L 1,5.8,4.4,1.4,-0.1,1.4,101-61,3,35-17,22-9,21-12,26-20,52-29,52-29,8-3,23-18,81-49,23-9,55-33,49-25,7-3,11-9,17-13,2017
1,2,Baltimore Orioles,101,61,0.623,L 1,5.0,4.2,0.8,0.0,0.8,94-68,7,32-20,22-10,21-11,26-20,49-32,52-29,11-6,30-16,65-44,36-17,51-39,50-22,6-4,11-9,18-12,2017
2,3,Los Angeles Dodgers,100,62,0.617,W 1,5.6,4.3,1.3,-0.1,1.2,100-62,0,17-14,19-14,34-18,30-16,53-28,47-34,6-6,16-15,74-39,26-23,52-36,48-26,6-4,13-7,17-13,2017
3,4,Tampa Bay Rays,99,63,0.611,W 2,5.3,4.1,1.2,0.0,1.2,100-62,-1,31-21,23-9,18-14,27-19,53-28,46-35,7-5,22-25,75-52,24-11,48-44,51-19,6-4,13-7,19-11,2017
4,5,Milwaukee Brewers,92,70,0.568,W 1,4.5,4.0,0.5,0.0,0.5,90-72,2,18-14,33-19,13-19,28-18,49-32,43-38,10-5,29-18,70-44,22-26,51-38,41-32,6-4,13-7,18-12,2017
5,6,Houston Astros,90,72,0.556,W 4,5.1,4.3,0.8,-0.1,0.7,93-69,-3,16-17,14-17,32-20,28-18,39-42,51-30,1-8,20-21,62-51,28-21,42-43,48-29,6-4,10-10,16-14,2017
6,7,Philadelphia Phillies,90,72,0.556,W 1,4.9,4.4,0.5,0.0,0.5,89-73,1,25-27,19-12,18-15,28-18,49-32,41-40,10-7,29-24,60-51,30-21,47-43,43-29,7-3,12-8,16-14,2017
7,8,Texas Rangers,90,72,0.556,L 1,5.4,4.4,1.0,-0.1,0.9,96-66,-6,20-12,19-13,29-23,22-24,50-31,40-41,2-8,14-22,62-56,28-16,42-45,48-27,6-4,12-8,15-15,2017
8,9,Toronto Blue Jays,89,73,0.549,L 2,4.6,4.1,0.5,0.1,0.5,89-73,0,21-31,22-10,16-16,30-16,43-38,46-35,10-9,25-20,69-58,20-15,43-50,46-23,4-6,10-10,17-13,2017
9,10,Seattle Mariners,88,74,0.543,W 1,4.7,4.1,0.6,-0.1,0.6,91-71,-3,13-18,20-13,33-19,22-24,45-36,43-38,6-14,25-26,66-55,22-19,38-48,50-26,4-6,9-11,13-17,2017
10,11,Minnesota Twins,87,75,0.537,L 1,4.8,4.1,0.7,-0.2,0.6,93-69,-6,13-19,29-23,20-12,25-21,47-34,40-41,12-8,19-27,66-58,21-17,37-36,50-39,7-3,12-8,18-12,2017
11,12,Arizona Diamondbacks,84,78,0.519,L 4,4.6,4.7,-0.1,0.0,-0.1,80-82,4,14-18,20-12,29-23,21-25,43-38,41-40,5-4,21-21,56-57,28-21,40-50,44-28,4-6,10-10,15-15,2017
12,13,Miami Marlins,84,78,0.519,L 1,4.1,4.5,-0.4,0.1,-0.3,75-87,9,26-26,18-15,14-17,26-20,46-35,38-43,7-3,33-14,64-59,20-19,38-50,46-28,5-5,11-9,18-12,2017
13,14,Chicago Cubs,83,79,0.512,L 1,5.1,4.5,0.6,-0.1,0.5,90-72,-7,11-20,30-22,17-16,25-21,45-36,38-43,3-6,21-24,54-57,29-22,38-51,45-28,4-6,7-13,13-17,2017
14,15,San Diego Padres,82,80,0.506,W 5,4.6,4.0,0.6,0.0,0.6,92-70,-10,16-16,11-21,27-25,28-18,44-37,38-43,2-12,9-23,54-61,28-19,40-51,42-29,8-2,15-5,20-10,2017
15,16,Cincinnati Reds,82,80,0.506,L 2,4.8,5.1,-0.2,0.0,-0.2,77-85,5,15-17,21-31,18-14,28-18,38-43,44-37,10-5,34-29,59-55,23-25,41-47,41-33,3-7,9-11,14-16,2017
16,17,New York Yankees,82,80,0.506,L 1,4.2,4.3,-0.2,0.1,0.0,78-84,4,22-30,18-14,19-13,23-23,42-39,40-41,6-9,17-23,67-67,15-13,47-46,35-34,6-4,12-8,18-12,2017
17,18,San Francisco Giants,79,83,0.488,L 1,4.2,4.4,-0.3,0.0,-0.3,76-86,3,13-18,20-13,26-26,20-26,45-36,34-47,11-5,25-19,51-63,28-20,46-55,33-28,3-7,7-13,10-20,2017
18,19,Detroit Tigers,78,84,0.481,W 2,4.1,4.6,-0.5,-0.1,-0.6,73-89,5,7-25,35-17,15-17,21-25,37-44,41-40,10-8,21-20,62-62,16-22,31-54,47-30,7-3,13-7,19-11,2017
19,20,Boston Red Sox,78,84,0.481,W 1,4.8,4.8,0.0,0.1,0.1,81-81,-3,24-28,19-13,15-17,20-26,39-42,39-42,4-6,18-25,54-66,24-18,51-55,27-29,3-7,6-14,9-21,2017
20,21,Cleveland Guardians,76,86,0.469,L 2,4.1,4.3,-0.2,-0.1,-0.3,77-85,-1,16-16,23-29,17-15,20-26,42-39,34-47,11-9,27-31,52-51,24-35,41-45,35-41,4-6,8-12,14-16,2017
21,22,Pittsburgh Pirates,76,86,0.469,W 1,4.3,4.9,-0.6,0.0,-0.6,71-91,5,16-17,25-27,16-15,19-27,39-42,37-44,3-9,22-17,50-58,26-28,40-62,36-24,5-5,10-10,17-13,2017
22,23,New York Mets,75,87,0.463,L 1,4.4,4.5,-0.1,0.0,0.0,80-82,-5,25-27,13-19,18-14,19-27,43-38,32-49,7-3,25-28,57-52,18-35,45-57,30-30,4-6,10-10,15-15,2017
23,24,Los Angeles Angels,73,89,0.451,W 1,4.6,5.1,-0.6,0.0,-0.5,73-89,0,14-18,18-14,22-30,19-27,38-43,35-46,7-8,22-21,57-64,16-25,35-63,38-26,4-6,8-12,10-20,2017
24,25,St. Louis Cardinals,71,91,0.438,W 2,4.4,5.1,-0.7,0.0,-0.6,71-91,0,14-18,21-31,13-19,23-23,35-46,36-45,6-6,17-26,54-66,17-25,45-56,26-35,4-6,8-12,15-15,2017
25,26,Washington Nationals,71,91,0.438,W 1,4.3,5.2,-0.9,0.1,-0.8,67-95,4,19-33,14-19,15-16,23-23,34-47,37-44,6-2,28-21,47-60,24-31,39-63,32-28,4-6,7-13,10-20,2017
26,27,Chicago White Sox,61,101,0.377,L 3,4.0,5.2,-1.2,0.0,-1.3,61-101,0,11-20,23-29,12-21,15-31,31-50,30-51,5-11,19-30,47-77,14-24,26-59,35-42,3-7,6-14,9-21,2017
27,28,Colorado Rockies,59,103,0.364,W 1,4.5,5.9,-1.5,0.1,-1.3,60-102,-1,14-20,13-17,14-38,18-28,37-44,22-59,6-4,23-24,37-74,22-29,31-72,28-31,3-7,8-12,10-20,2017
28,29,Kansas City Royals,56,106,0.346,W 1,4.2,5.3,-1.1,0.0,-1.2,64-98,-8,9-24,20-32,11-20,16-30,33-48,23-58,3-4,21-20,42-79,14-27,25-60,31-46,6-4,12-8,15-15,2017
29,30,Oakland Athletics,50,112,0.309,L 1,3.6,5.7,-2.1,0.1,-2.0,49-113,1,8-24,14-18,14-38,14-32,26-55,24-57,6-8,20-27,31-85,19-27,22-76,28-36,4-6,6-14,12-18,2017
0,1,Atlanta Braves,104,58,0.642,L 1,5.8,4.4,1.4,-0.1,1.4,101-61,3,35-17,22-9,21-12,26-20,52-29,52-29,8-3,23-18,81-49,23-9,55-33,49-25,7-3,11-9,17-13,2018
1,2,Baltimore Orioles,101,61,0.623,L 1,5.0,4.2,0.8,0.0,0.8,94-68,7,32-20,22-10,21-11,26-20,49-32,52-29,11-6,30-16,65-44,36-17,51-39,50-22,6-4,11-9,18-12,2018
2,3,Los Angeles Dodgers,100,62,0.617,W 1,5.6,4.3,1.3,-0.1,1.2,100-62,0,17-14,19-14,34-18,30-16,53-28,47-34,6-6,16-15,74-39,26-23,52-36,48-26,6-4,13-7,17-13,2018
3,4,Tampa Bay Rays,99,63,0.611,W 2,5.3,4.1,1.2,0.0,1.2,100-62,-1,31-21,23-9,18-14,27-19,53-28,46-35,7-5,22-25,75-52,24-11,48-44,51-19,6-4,13-7,19-11,2018
4,5,Milwaukee Brewers,92,70,0.568,W 1,4.5,4.0,0.5,0.0,0.5,90-72,2,18-14,33-19,13-19,28-18,49-32,43-38,10-5,29-18,70-44,22-26,51-38,41-32,6-4,13-7,18-12,2018
5,6,Houston Astros,90,72,0.556,W 4,5.1,4.3,0.8,-0.1,0.7,93-69,-3,16-17,14-17,32-20,28-18,39-42,51-30,1-8,20-21,62-51,28-21,42-43,48-29,6-4,10-10,16-14,2018
6,7,Philadelphia Phillies,90,72,0.556,W 1,4.9,4.4,0.5,0.0,0.5,89-73,1,25-27,19-12,18-15,28-18,49-32,41-40,10-7,29-24,60-51,30-21,47-43,43-29,7-3,12-8,16-14,2018
7,8,Texas Rangers,90,72,0.556,L 1,5.4,4.4,1.0,-0.1,0.9,96-66,-6,20-12,19-13,29-23,22-24,50-31,40-41,2-8,14-22,62-56,28-16,42-45,48-27,6-4,12-8,15-15,2018
8,9,Toronto Blue Jays,89,73,0.549,L 2,4.6,4.1,0.5,0.1,0.5,89-73,0,21-31,22-10,16-16,30-16,43-38,46-35,10-9,25-20,69-58,20-15,43-50,46-23,4-6,10-10,17-13,2018
9,10,Seattle Mariners,88,74,0.543,W 1,4.7,4.1,0.6,-0.1,0.6,91-71,-3,13-18,20-13,33-19,22-24,45-36,43-38,6-14,25-26,66-55,22-19,38-48,50-26,4-6,9-11,13-17,2018
10,11,Minnesota Twins,87,75,0.537,L 1,4.8,4.1,0.7,-0.2,0.6,93-69,-6,13-19,29-23,20-12,25-21,47-34,40-41,12-8,19-27,66-58,21-17,37-36,50-39,7-3,12-8,18-12,2018
11,12,Arizona Diamondbacks,84,78,0.519,L 4,4.6,4.7,-0.1,0.0,-0.1,80-82,4,14-18,20-12,29-23,21-25,43-38,41-40,5-4,21-21,56-57,28-21,40-50,44-28,4-6,10-10,15-15,2018
12,13,Miami Marlins,84,78,0.519,L 1,4.1,4.5,-0.4,0.1,-0.3,75-87,9,26-26,18-15,14-17,26-20,46-35,38-43,7-3,33-14,64-59,20-19,38-50,46-28,5-5,11-9,18-12,2018
13,14,Chicago Cubs,83,79,0.512,L 1,5.1,4.5,0.6,-0.1,0.5,90-72,-7,11-20,30-22,17-16,25-21,45-36,38-43,3-6,21-24,54-57,29-22,38-51,45-28,4-6,7-13,13-17,2018
14,15,San Diego Padres,82,80,0.506,W 5,4.6,4.0,0.6,0.0,0.6,92-70,-10,16-16,11-21,27-25,28-18,44-37,38-43,2-12,9-23,54-61,28-19,40-51,42-29,8-2,15-5,20-10,2018
15,16,Cincinnati Reds,82,80,0.506,L 2,4.8,5.1,-0.2,0.0,-0.2,77-85,5,15-17,21-31,18-14,28-18,38-43,44-37,10-5,34-29,59-55,23-25,41-47,41-33,3-7,9-11,14-16,2018
16,17,New York Yankees,82,80,0.506,L 1,4.2,4.3,-0.2,0.1,0.0,78-84,4,22-30,18-14,19-13,23-23,42-39,40-41,6-9,17-23,67-67,15-13,47-46,35-34,6-4,12-8,18-12,2018
17,18,San Francisco Giants,79,83,0.488,L 1,4.2,4.4,-0.3,0.0,-0.3,76-86,3,13-18,20-13,26-26,20-26,45-36,34-47,11-5,25-19,51-63,28-20,46-55,33-28,3-7,7-13,10-20,2018
18,19,Detroit Tigers,78,84,0.481,W 2,4.1,4.6,-0.5,-0.1,-0.6,73-89,5,7-25,35-17,15-17,21-25,37-44,41-40,10-8,21-20,62-62,16-22,31-54,47-30,7-3,13-7,19-11,2018
19,20,Boston Red Sox,78,84,0.481,W 1,4.8,4.8,0.0,0.1,0.1,81-81,-3,24-28,19-13,15-17,20-26,39-42,39-42,4-6,18-25,54-66,24-18,51-55,27-29,3-7,6-14,9-21,2018
20,21,Cleveland Guardians,76,86,0.469,L 2,4.1,4.3,-0.2,-0.1,-0.3,77-85,-1,16-16,23-29,17-15,20-26,42-39,34-47,11-9,27-31,52-51,24-35,41-45,35-41,4-6,8-12,14-16,2018
21,22,Pittsburgh Pirates,76,86,0.469,W 1,4.3,4.9,-0.6,0.0,-0.6,71-91,5,16-17,25-27,16-15,19-27,39-42,37-44,3-9,22-17,50-58,26-28,40-62,36-24,5-5,10-10,17-13,2018
22,23,New York Mets,75,87,0.463,L 1,4.4,4.5,-0.1,0.0,0.0,80-82,-5,25-27,13-19,18-14,19-27,43-38,32-49,7-3,25-28,57-52,18-35,45-57,30-30,4-6,10-10,15-15,2018
23,24,Los Angeles Angels,73,89,0.451,W 1,4.6,5.1,-0.6,0.0,-0.5,73-89,0,14-18,18-14,22-30,19-27,38-43,35-46,7-8,22-21,57-64,16-25,35-63,38-26,4-6,8-12,10-20,2018
24,25,St. Louis Cardinals,71,91,0.438,W 2,4.4,5.1,-0.7,0.0,-0.6,71-91,0,14-18,21-31,13-19,23-23,35-46,36-45,6-6,17-26,54-66,17-25,45-56,26-35,4-6,8-12,15-15,2018
